CONNECTIONS LOG
192.168.1.34>2020-02-24 11:46:42.577957
192.168.1.34>2020-02-24 11:47:46.938424
192.168.1.34>2020-02-24 11:51:58.179317
192.168.1.34>2020-02-24 11:53:44.403701
192.168.1.34>2020-02-24 11:53:56.187904
192.168.1.34>2020-02-24 11:54:46.428065
192.168.1.34>2020-02-24 11:54:56.940117
192.168.1.34>2020-02-24 12:02:19.413788
192.168.1.34>2020-02-24 12:04:18.214372
192.168.1.34>2020-02-24 12:05:18.527015
192.168.1.34>2020-02-24 12:07:24.016015
192.168.1.34>2020-02-24 12:08:22.624668
192.168.1.39>2020-04-17 15:50:59.066836
192.168.1.39>2020-04-17 15:51:15.861531
192.168.1.39>2020-04-17 15:52:50.196254
192.168.1.39>2020-04-17 15:53:00.947850
192.168.1.39>2020-04-17 15:54:19.052442
192.168.1.39>2020-04-17 15:54:37.188533
